airplane,fly
angel,engel
ant,maur
apple,eple
axe,øks
bathtub,badekar
beach,strand
bee,bie
bicycle,sykkel
birthday cake,bursdagskake
book,bok
bus,buss
butterfly,sommerfugl
calculator,kalkulator
camel,kamel
castle,slott
cat,katt
cow,ku
crab,krabbe
crocodile,krokodille
diamond,diamant
elephant,elefant
eye,øye
frying pan,stekepanne
giraffe,sjiraff
hammer,hammer
hand,hånd
helicopter,helikopter
horse,hest
hospital,sykehus
key,nøkkel
lightning,lyn
mermaid,havfrue
mountain,fjell
ocean,hav
palm tree,palme
piano,piano
pineapple,ananas
pizza,pizza
police car,politibil
screwdriver,skrutrekker
sheep,sau
snail,snegle
suitcase,koffert
tractor,traktor
watermelon,vannmelon
wheel,hjul
wristwatch,armbåndsur
